test,URL,Score,Date,Time,Month,Year
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-11-2022,09,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-11-2022,09,10,2022
0,https://www.stc.com.kw/en/,0.22,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.5,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-11-2022,10,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-11-2022,10,10,2022
